Algorithm;Runtime;Utility;Costs;Response Time;Availability
Ant Colony Algorithm;3968700;0.67;56.277291814136774;37.39929243413002;0.9476977580567839
Analytic Algorithm;61300;0.67;56.277291814136774;37.39929243413002;0.9476977580567839
Genetic Algorithm;4399800;0.67;56.277291814136774;37.39929243413002;0.9476977580567839
